title,url,page_type,current_topic
Are Canada's competition laws outdated? Some say it's time for change,https://www.cigionline.org/articles/are-canadas-competition-laws-outdated-some-say-its-time-for-change/,ArticlePage,Competition
Canadian Productivity Lecture Series Aims to Address Declining Standard of Living,https://www.cigionline.org/articles/canadian-productivity-lecture-series-aims-to-address-declining-standard-of-living/,ArticlePage,Competition
Canadians Deserve Laws That Better Protect Competition,https://www.cigionline.org/articles/canadians-deserve-laws-that-better-protect-competition/,ArticlePage,Competition
Competing Ideas: Canada’s Competition Reform Conversation,https://www.cigionline.org/publications/competing-ideas-canadas-competition-reform-conversation/,PublicationPage,Competition
Competing Ideas: Canada’s Competition Reform Conversation,https://www.cigionline.org/multimedia/competing-ideas-canadas-competition-reform-conversation/,MultimediaPage,Competition
Competition Bureau remains firm in its decision to challenge proposed Rogers-Shaw merger,https://www.cigionline.org/articles/competition-bureau-remains-firm-in-its-decision-to-challenge-proposed-rogers-shaw-merger/,ArticlePage,Competition
Competition Policy Explained,https://www.cigionline.org/multimedia/competition-policy-explained/,MultimediaPage,Competition
From Brain Drain to Brain Gain: How India Can Outflank the US in AI,https://www.cigionline.org/articles/from-brain-drain-to-brain-gain-how-india-can-outflank-the-us-in-ai/,ArticlePage,Competition
Is Competition Tribunal’s Decision on Rogers-Shaw on a Collision Course with the CRTC?,https://www.cigionline.org/articles/is-competition-tribunals-decision-on-rogers-shaw-on-a-collision-course-with-the-crtc/,ArticlePage,Competition
Ottawa Rejects Part of Rogers-Shaw Deal,https://www.cigionline.org/articles/ottawa-rejects-part-of-rogers-shaw-deal/,ArticlePage,Competition
Proposed Amendments to Canada’s Competition Act Should Go Further,https://www.cigionline.org/articles/proposed-amendments-to-canadas-competition-act-should-go-further/,ArticlePage,Competition
The Canadian business playing field isn’t as fair as you think,https://www.cigionline.org/articles/features-from-pivot-magazine-the-canadian-business-playing-field-isnt-as-fair-as-you-think/,ArticlePage,Competition
"The Canadian Standard of Living, Productivity and Innovation Lecture Series",https://www.cigionline.org/multimedia/the-canadian-standard-of-living-productivity-and-innovation-lecture-series/,MultimediaPage,Competition
The Competition Cage Match (Vass Bednar and Denise Hearn weigh in),https://www.cigionline.org/pp/the-competition-cage-match-vass-bednar-and-denise-hearn-weigh-in/,MultimediaPage,Competition
The DOJ’s Action against Google’s Monopoly Is Long Overdue,https://www.cigionline.org/articles/the-dojs-action-against-googles-monopoly-is-long-overdue/,ArticlePage,Competition
The Next Battleground for the Rogers-Shaw Merger Will Be the CRTC,https://www.cigionline.org/articles/the-next-battleground-for-the-rogers-shaw-merger-will-be-the-crtc/,ArticlePage,Competition
What Is the Competition Bureau’s Vision for the Future of Competition Policy?,https://www.cigionline.org/articles/what-is-the-competition-bureaus-vision-for-the-future-of-competition-policy/,ArticlePage,Competition
What’s Ahead for Canada’s Telecom Policy After Rogers-Shaw?,https://www.cigionline.org/articles/whats-ahead-for-canadas-telecom-policy-after-rogers-shaw/,ArticlePage,Competition
"Why Canada’s Housing Crisis Is a Productivity Crisis, Too",https://www.cigionline.org/articles/why-canadas-housing-crisis-is-a-productivity-crisis-too/,ArticlePage,Competition
