Name,Expert Added Dates,Expert Removed Dates
﻿Akshay Mathur,Added: 2020-08-17
Alex He,Added: 2016-04-11
Allan Thompson,Added: 2017-10-31
Amrita Vasudevan,Added: 2022-10-11
Andre Boysen,Added: 2020-12-07
R. Andreas Kraemer,Added: 2016-08-10
Andrew S. Thompson,Added: 2009-03-02 | Removed: 2009-03-02 | Added: 2009-03-02 | Removed: 2014-12-03 | Added: 2015-06-24
Anja Kovacs,Added: 2024-12-06
Anton Malkin,Added: 2017-02-17
Arif Z. Lalani,Added: 2020-10-30
Bernard Colas,Added: 2016-09-01
Bessma Momani,Added: 2009-03-03 | Removed: 2009-03-05 | Added: 2009-03-18 | Removed: 2010-12-02 | Added: 2016-10-04
Bianca Wylie,Added: 2018-03-20
William (Bill) Burke-White,Added: 2023-11-29
Blayne Haggart,Added: 2020-09-15
Robert Fay,Added: 2018-08-29
Branka Marijan,Added: 2024-01-31
Brian Klaas,Added: 2021-04-07
Brigitte Vézina,Added: 2017-04-28
Burcu Kilic,Added: 2023-10-25
Christopher S. Yoo,Added: 2014-05-29
B. Courtney Doagoo,Added: 2017-11-07 | Removed: 2020-11-26 | Added: 2020-12-03
Courtney C. Radsch,Added: 2021-10-25
Dan Ciuriak,Added: 2016-05-04
Daniel Araya,Added: 2020-05-25
Danielle Goldfarb,Added: 2023-11-23
Darrell Bricker,Added: 2016-04-07
David Evan Harris,Added: 2023-10-24
Debra Steger,Added: 2009-10-09 | Removed: 2011-05-10 | Added: 2014-09-04 | Removed: 2019-10-10 | Added: 2019-12-09
Delphine Halgand-Mishra,Added: 2021-01-08
Dieter Ernst,Added: 2016-05-12
Douglas Lippoldt,Added: 2021-03-08
Elizabeth M. Renieris,Added: 2022-11-29
Emily Laidlaw,Added: 2023-12-12
Eric Jardine,Added: 2016-10-04
Evelyne A. Tauchnitz,Added: 2022-12-14
Angelo Federico Arcelli,Added: 2017-03-08
Folashadé Soulé,Added: 2022-02-01
Giovanni Tria,Added: 2020-10-05
Gregory Makoff,Added: 2015-04-02
Hanzhi Yu,Added: 2017-03-07 | Removed: 2019-02-11 | Added: 2020-09-25
Hector Torres,Added: 2017-04-10
Heidi Tworek,Added: 2020-10-16
Henry Gao,Added: 2022-01-20
Hongying Wang,Added: 2016-03-03
James Bacchus,Added: 2017-10-20
James M. Boughton,Added: 2016-02-23
James A. Haley,Added: 2016-06-06
Jean-Frédéric Morin,Added: 2016-05-19
Jeni Tennison,Added: 2023-10-11
Jennifer Quaid,Added: 2022-04-13
Jeremy de Beer,Added: 2017-11-06
Jessica West,Added: 2022-06-16
James W. Hinton,Added: 2015-02-02
Joel Blit,Added: 2016-05-04
John Bruce,Added: 2023-10-17
Jorge Braga de Macedo,Added: 2015-02-24
Karima Bawa,Added: 2015-07-16
Keldon Bester,Added: 2022-02-01 | Removed: 2022-02-01 | Added: 2022-02-24
Laura DeNardis,Added: 2016-03-03
Leah West,Added: 2024-01-22
Mai Mavinkurve,Added: 2020-11-16
Mark Jewett,Added: 2015-04-23
Mark Kruger,Added: 2019-08-02
Maroussia Lévesque,Added: 2021-10-27
Marsha Simone Cadogan,Added: 2016-12-07
Martin Guzman,Added: 2016-09-16
Michael Chertoff,Added: 2018-03-13
Michel Girard,Added: 2018-09-20
Myra J. Tawfik,Added: 2016-05-04
Nanjala Nyabola,Added: 2020-11-16
Neil Desai,Added: 2020-06-17
Nestor Maslej,Added: 2023-01-19
Olaf Weber,Added: 2016-03-04
Olena Ivus,Added: 2016-06-30
Patricia Goff,Added: 2009-03-03 | Removed: 2009-03-24 | Added: 2009-05-02 | Removed: 2009-05-06 | Added: 2009-05-22 | Removed: 2014-05-07 | Added: 2016-02-17
Patricia Meredith,Added: 2020-09-23
Patrick Leblond,Added: 2015-10-07
Paul Jenkins,Added: 2010-09-01 | Removed: 2010-09-01 | Added: 2010-09-02 | Removed: 2011-04-18 | Added: 2015-11-02
Paul Twomey,Added: 2016-11-11
Paul Vallée,Added: 2020-10-01
Pier Carlo Padoan,Added: 2023-10-11
Pierre L. Siklos,Added: 2009-06-15 | Removed: 2010-12-02 | Added: 2015-11-02
Giuseppina (Pina) D’Agostino,Added: 2016-11-22
Rafal Rohozinski,Added: 2020-09-10
E. Richard Gold,Added: 2016-10-25
Robert Gorwa,Added: 2020-10-16
Robert Greenhill,Added: 2016-04-07
Robert Mazzolin,Added: 2021-03-26
Rohinton P. Medhora,Added: 2016-10-03
Sabhanaz Rashid Diya,Added: 2024-01-26
Samantha Bradshaw,Added: 2020-09-29
Shelly Bruce,Added: 2023-04-19
Steven L. Schwarcz,Added: 2016-01-11
Susan Ariel Aaronson,Added: 2017-10-13
Susan Etlinger,Added: 2019-05-15
Susie Alegre,Added: 2022-01-20
Suzie Dunn,Added: 2020-04-06
Taylor Owen,Added: 2019-05-09
Teresa Scassa,Added: 2017-12-15
Thomas A. Bernes,Added: 2009-11-25 | Removed: 2010-11-15 | Added: 2016-01-28
Tim Sargent,Added: 2022-10-18
Timothy Lane,
Tracy Vaillancourt,Added: 2022-12-09
Valerie Hughes,Added: 2017-11-20
Vass Bednar,Added: 2022-02-14
Wallace Trenholm,Added: 2020-07-27
Wesley Wark,Added: 2020-08-25
