dry_run,section,title,url,page_type,action
False,topic_replacement,"#MeToo in Asia: Victories, Defeats and the Case for Digital Activism",https://www.cigionline.org/articles/metoo-in-asia-victories-defeats-and-the-case-for-digital-activism/,ArticlePage,add latter and remove former
False,topic_replacement,A Real Inclusive Trade Agenda Could Aid Gender Equality,https://www.cigionline.org/articles/real-inclusive-trade-agenda-could-aid-gender-equality/,ArticlePage,add latter and remove former
False,topic_replacement,Accounting for Women and Girls,https://www.cigionline.org/articles/accounting-women-and-girls/,ArticlePage,add latter and remove former
False,topic_replacement,Advancing Gender Equality through Trade,https://www.cigionline.org/articles/advancing-gender-equality-through-trade/,ArticlePage,add latter and remove former
False,topic_replacement,At the Margins of SSR: Gender and Informal Justice,https://www.cigionline.org/publications/margins-ssr-gender-and-informal-justice/,PublicationPage,add latter and remove former
False,topic_replacement,"At the UN, Women Lead Efforts to Bridge the Digital Divide",https://www.cigionline.org/articles/at-the-un-women-lead-efforts-to-bridge-the-digital-divide/,ArticlePage,add latter and remove former
False,topic_replacement,Briefing: International Women’s Day 2021,https://www.cigionline.org/articles/briefing-international-womens-day-2021/,ArticlePage,add latter and remove former
False,topic_replacement,Briefing: The Silencing Effect of Toxic Social Media,https://www.cigionline.org/articles/briefing-the-silencing-effect-of-toxic-social-media/,ArticlePage,add latter and remove former
False,topic_replacement,Briefing: Top Reads of 2021,https://www.cigionline.org/articles/briefing-top-reads-of-2021/,ArticlePage,add latter and remove former
False,topic_replacement,Building a Feminist Internet,https://www.cigionline.org/articles/building-feminist-internet/,ArticlePage,add latter and remove former
False,topic_replacement,"By Granting Asylum to Saudi Woman, Canada Shows Its Moral Leadership",https://www.cigionline.org/articles/granting-asylum-saudi-woman-canada-shows-its-moral-leadership/,ArticlePage,remove former only
False,topic_replacement,Calling for Gender-responsive Policy within the WTO ,https://www.cigionline.org/articles/calling-gender-responsive-policy-within-wto/,ArticlePage,add latter and remove former
False,topic_replacement,Canada Must Do More to Protect Women and Girls from Harmful Deepfakes,https://www.cigionline.org/articles/canada-must-do-more-to-protect-women-and-girls-from-harmful-deepfakes/,ArticlePage,remove former only
False,topic_replacement,Canada Needs an E-Safety Comissioner to Fight Digital Abuse,https://www.cigionline.org/articles/canada-needs-an-e-safety-comissioner-to-fight-digital-abuse/,ArticlePage,add latter and remove former
False,topic_replacement,Canada’s Federal Parties Failing to Address Gender-Based Violence Online,https://www.cigionline.org/articles/canadas-federal-parties-failing-to-address-gender-based-violence-online/,ArticlePage,remove former only
False,topic_replacement,Canadian Universities Must Stop Undervaluing Female Academics,https://www.cigionline.org/articles/canadian-universities-must-stop-undervaluing-female-academics/,ArticlePage,add latter and remove former
False,topic_replacement,CANCELLED: Closing the Gender Gap: Addressing Inequality through Policy Change,https://www.cigionline.org/events/cancelled-closing-gender-gap-addressing-inequality-through-policy-change/,EventPage,add latter and remove former
False,topic_replacement,Celebrating Women of Influence in Tech,https://www.cigionline.org/events/celebrating-women-influence-tech/,EventPage,add latter and remove former
False,topic_replacement,CIGI Announces Two-year Research Project to Combat Online Gender-based Violence,https://www.cigionline.org/articles/cigi-announces-two-year-research-project-combat-online-gender-based-violence/,ArticlePage,remove former only
False,topic_replacement,Closing the Digital Gender Divide through Trade Rules,https://www.cigionline.org/articles/closing-digital-gender-divide-through-trade-rules/,ArticlePage,add latter and remove former
False,topic_replacement,Could the Human Security Frame Derail Hard-Won Progress on Gender?,https://www.cigionline.org/articles/could-the-human-security-frame-derail-hard-won-progress-on-gender/,ArticlePage,add latter and remove former
False,topic_replacement,Data Governance Avenues for Military Cultural Transformation,https://www.cigionline.org/publications/data-governance-avenues-for-military-cultural-transformation/,PublicationPage,add latter and remove former
False,topic_replacement,Declaration Signatories Must Be Held Accountable,https://www.cigionline.org/articles/declaration-signatories-must-be-held-accountable/,ArticlePage,add latter and remove former
False,topic_replacement,Deepfakes and Digital Harms: Emerging Technologies and Gender-Based Violence,https://www.cigionline.org/multimedia/deepfakes-and-digital-harms-emerging-technologies-and-gender-based-violence/,MultimediaPage,remove former only
False,topic_replacement,"Digital Ethics, Gender-Based Analysis and Canada’s Quantum Strategy",https://www.cigionline.org/publications/digital-ethics-gender-based-analysis-and-canadas-quantum-strategy/,PublicationPage,add latter and remove former
False,topic_replacement,Digital Inclusion: Policy Pathways for Public-Private Partnerships,https://www.cigionline.org/publications/digital-inclusion-policy-pathways-for-public-private-partnerships/,PublicationPage,remove former only
False,topic_replacement,"Disarming Myths about Women, Weapons and War",https://www.cigionline.org/events/disarming-myths-about-women-weapons-and-war/,EventPage,add latter and remove former
False,topic_replacement,"Disarming Myths about Women, Weapons and War",https://www.cigionline.org/multimedia/disarming-myths-about-women-weapons-and-war/,MultimediaPage,add latter and remove former
False,topic_replacement,Education Is Key in the Fight against Cyber Harassment,https://www.cigionline.org/articles/education-is-key-in-the-fight-against-cyber-harassment/,ArticlePage,add latter and remove former
False,topic_replacement,Engendering International Trade and Investment Arbitration for Sustainable Development,https://www.cigionline.org/publications/engendering-international-trade-and-investment-arbitration-sustainable-development/,PublicationPage,add latter and remove former
False,topic_replacement,Enhancing Women Migrant Workers’ Rights and Mainstreaming Gender in Global Migration Governance,https://www.cigionline.org/publications/enhancing-women-migrant-workers-rights-and-mainstreaming-gender-global-migration/,PublicationPage,remove former only
False,topic_replacement,"Even amid Protectionism, Buenos Aires Gave Women Momentum",https://www.cigionline.org/articles/even-amid-protectionism-buenos-aires-gave-women-momentum/,ArticlePage,add latter and remove former
False,topic_replacement,Exploring Best Practices in Promoting Gender Parity,https://www.cigionline.org/articles/exploring-best-practices-promoting-gender-parity/,ArticlePage,add latter and remove former
False,topic_replacement,Figures for Social Change: Using Quantitative Data to Advance Advocacy on TFGBV,https://www.cigionline.org/articles/figures-for-social-change-using-quantitative-data-to-advance-advocacy-on-tfgbv/,ArticlePage,add latter and remove former
False,topic_replacement,Four Reasons Internet Access Is a Women's Issue,https://www.cigionline.org/articles/four-reasons-internet-access-womens-issue/,ArticlePage,add latter and remove former
False,topic_replacement,"Freedom of Thought, Social Media and the Teen Brain",https://www.cigionline.org/publications/freedom-of-thought-social-media-and-the-teen-brain/,PublicationPage,add latter and remove former
False,topic_replacement,"From Global to Local: SDG 16, Access to Justice and Women’s Strategies for Empowerment in North Kivu (DRC)",https://www.cigionline.org/publications/global-local-sdg-16-access-justice-and-womens-strategies-empowerment-north-kivu-drc/,PublicationPage,add latter and remove former
False,topic_replacement,From Rhetoric to Reality: Achieving Gender Equality for Refugee Women and Girls,https://www.cigionline.org/publications/rhetoric-reality-achieving-gender-equality-refugee-women-and-girls/,PublicationPage,add latter and remove former
False,topic_replacement,Gender Chapters in Trade Agreements: Nice Rhetoric or Sound Policy?,https://www.cigionline.org/articles/gender-chapters-trade-agreements-nice-rhetoric-or-sound-policy/,ArticlePage,add latter and remove former
False,topic_replacement,Gender Equality Impacts and Opportunities in International Law and Governance,https://www.cigionline.org/events/gender-equality-impacts-and-opportunities-international-law-and-governance/,EventPage,add latter and remove former
False,topic_replacement,Gender Equality in the Canadian Armed Forces,https://www.cigionline.org/events/gender-equality-canadian-armed-forces/,EventPage,add latter and remove former
False,topic_replacement,Gender Equality in the WTO: The Need for Women Leaders ,https://www.cigionline.org/articles/gender-equality-wto-need-women-leaders/,ArticlePage,add latter and remove former
False,topic_replacement,Gender Impact of Regional Integration in the East African Community,https://www.cigionline.org/articles/gender-impact-regional-integration-east-african-community/,ArticlePage,add latter and remove former
False,topic_replacement,Gender-Based Censorship: The Silencing of Voices in Digital Spaces,https://www.cigionline.org/events/gender-based-censorship-the-silencing-of-voices-in-digital-spaces/,EventPage,add latter and remove former
False,topic_replacement,Gender-Based Censorship: The Silencing of Voices in Digital Spaces,https://www.cigionline.org/multimedia/gender-based-censorship-the-silencing-of-voices-in-digital-spaces/,MultimediaPage,add latter and remove former
False,topic_replacement,Generative AI Tools Are Perpetuating Harmful Gender Stereotypes,https://www.cigionline.org/articles/generative-ai-tools-are-perpetuating-harmful-gender-stereotypes/,ArticlePage,add latter and remove former
False,topic_replacement,Gig Economies Living Lab: Bridging Global Divides in Research,https://www.cigionline.org/publications/gig-economies-living-lab-bridging-global-divides-in-research/,PublicationPage,remove former only
False,topic_replacement,Global Health Systems Aren’t Ready for the Rise of Humanitarian “Femtech”,https://www.cigionline.org/articles/global-health-systems-arent-ready-for-the-rise-of-humanitarian-femtech/,ArticlePage,remove former only
False,topic_replacement,Global Youth Forum: Gender Equality,https://www.cigionline.org/events/global-youth-forum-gender-equality/,EventPage,add latter and remove former
False,topic_replacement,How Can Impact Assessments Improve Protection from TFGBV?,https://www.cigionline.org/publications/how-can-impact-assessments-improve-protection-from-tfgbv/,PublicationPage,add latter and remove former
False,topic_replacement,How Canada’s Progressive Trade Agenda Can Improve the Global Trading System – The Particular Case of Women and Trade,https://www.cigionline.org/events/how-canadas-progressive-trade-agenda-can-improve-global-trading-system-particular-case-women/,EventPage,add latter and remove former
